a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,,regret_val,regret_test,train_time
85,-1.350798607,-0.130996346,-0.125320047,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.8182459,0.976973052,0.187094986,3.582765542,0,0.3,0.01,8,FALSE,logBar,profit,ID,,,,
106,-0.865217447,-0.114152998,-0.061564833,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.74892298,7.566287245,1.597307151,3.494069283,0,0.01,0.001,64,FALSE,logBar,profit,ID,,,,
109,-0.920924187,-0.091054082,-0.056860834,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.63680352,6.844126555,2.210460603,5.350504404,0,0.03,0.01,64,FALSE,logBar,profit,ID,,,,
79,-0.880495548,-0.085352421,-0.059669912,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.13565074,0.916858776,0.223666738,2.982449169,0,0.03,0.0001,8,FALSE,logBar,profit,ID,,,,
78,-0.923368931,-0.08498776,-0.062746018,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.09511612,1.038793199,0.54860289,5.413203543,0,0.03,0.001,8,FALSE,logBar,profit,ID,,,,
110,-0.813501358,-0.074268758,-0.044272125,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.43091175,7.217896906,1.211100322,2.927421269,0,0.03,0.001,64,FALSE,logBar,profit,ID,,,,
93,-0.534327626,-0.07026948,-0.056638166,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.23615485,1.037544754,0.29207574,5.630361601,0,3,0.01,8,FALSE,logBar,profit,ID,,,,
95,-0.802458882,-0.062847354,-0.075837918,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.48515529,0.905852528,0.139949169,2.917976832,0,3,0.0001,8,FALSE,logBar,profit,ID,,,,
90,-1.11164093,-0.032261908,-0.051457644,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.21191721,0.966950812,0.215602401,4.324781379,0,1,0.001,8,FALSE,logBar,profit,ID,,,,
89,-1.001170278,-0.028886825,-0.044577077,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.98130892,1.084141608,0.269686092,6.284950256,0,1,0.01,8,FALSE,logBar,profit,ID,,,,
125,-0.765056252,-0.028113052,-0.04097864,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.49943734,7.370455328,1.536306201,4.422057497,0,3,0.01,64,FALSE,logBar,profit,ID,,,,
113,-0.795812905,-0.014055014,0.015801772,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.08083038,6.975067444,1.841721384,5.138746872,0,0.1,0.01,64,FALSE,logBar,profit,ID,,,,
126,-0.311156631,-0.007349558,-0.035361525,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.39738293,7.772786905,1.195171049,3.320264747,0,3,0.001,64,FALSE,logBar,profit,ID,,,,
99,-0.492168069,-0.001464322,-0.012962729,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.52195395,7.229978441,1.322329709,2.894530616,0,0.001,0.0001,64,FALSE,logBar,profit,ID,,,,
121,-0.905077994,0.003342301,-0.028962463,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.14756356,7.662188395,1.381994981,4.001733621,0,1,0.01,64,FALSE,logBar,profit,ID,,,,
