a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,hp_hl1_units,hp_hl1_act,,regret_val,regret_test,train_time
73,-1.316483974,-0.317618519,-0.306813896,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.71505349,0.994333233,0.511395608,4.481147905,0,0.01,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
77,-1.422034025,-0.285585552,-0.285937607,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.18028905,0.988868356,0.460760498,4.540934348,0,0.03,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
105,-1.301405668,-0.285350144,-0.282570541,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.3476033,7.586089562,1.502730514,3.195129402,0,0.01,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
101,-1.116615295,-0.275992572,-0.26570195,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.06976858,7.766566054,1.907952493,4.294791304,0,0.003,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
70,-1.162418365,-0.239470363,-0.229617178,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.07970982,0.970581188,0.423068431,3.741455746,0,0.003,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
98,-0.811003327,-0.198567033,-0.193160117,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.9680658,7.822321984,1.833892057,4.184057571,0,0.001,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
67,-0.823758364,-0.185062766,-0.183238149,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.53230308,0.954712964,0.495503421,4.246875422,0,0.001,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
78,-0.813584447,-0.18072778,-0.167201161,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.64342736,0.985173136,0.38125453,3.694577351,0,0.03,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
74,-0.926900387,-0.17404747,-0.162231266,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.98529145,0.938099924,0.501852227,4.44333058,0,0.01,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
102,-0.813467979,-0.169020295,-0.16122216,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.54503812,7.730619626,1.475640402,3.252222536,0,0.003,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
71,-0.81824249,-0.163098872,-0.141690731,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.29993199,0.960870191,0.43564373,4.097614468,0,0.003,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
109,-0.752077997,-0.147159904,-0.132827222,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.74540835,7.208354983,2.196219716,5.176828384,0,0.03,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
81,-0.864337802,-0.134949356,-0.13318868,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.67153308,1.062651597,0.426794146,6.36022106,0,0.1,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
89,-1.163495779,-0.124405622,-0.100943923,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.30452521,1.0776116,0.288584757,6.281728098,0,1,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
125,-0.819497168,-0.106895387,-0.122387826,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.58740158,7.777497794,1.307145243,3.403474413,0,3,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
82,-0.868145823,-0.076801091,-0.06991218,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.85789926,0.939299072,0.250060585,3.096573162,0,0.1,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
93,-1.003718495,-0.055290937,-0.051118433,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.33927803,1.049654774,0.261992345,6.276810092,0,3,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
85,-0.31563139,0.117950365,0.113218315,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.93633986,1.051425626,0.28095493,6.519633824,0,0.3,0.01,8,FALSE,logBar,profit,ID,24,softplus,,,,
94,-0.150529861,0.134422272,0.139824659,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.16140179,1.093575365,0.234327452,5.311319477,0,3,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
86,-0.18143931,0.14117758,0.141739979,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.29727282,0.988407169,0.313773708,5.028811985,0,0.3,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
99,0.427188873,0.147206187,0.142707974,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.56015818,7.699678443,1.481189871,3.299291364,0,0.001,0.0001,64,FALSE,logBar,profit,ID,24,softplus,,,,
126,0.349418402,0.172172785,0.157989606,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.92800343,7.651282242,1.117670624,3.068305284,0,3,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
91,0.160727143,0.180056185,0.188622117,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.22919126,1.058333143,0.253580475,4.610512746,0,1,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
